CEC Forecast Years,Spatial ID,Output DER Types,Value
2017,91901,Solar PV,6.4136994
2017,91902,Solar PV,4.04230836
2017,91905,Solar PV,0.28528859
2017,91906,Solar PV,0.76073972
2017,91910,Solar PV,6.82753051
2017,91911,Solar PV,5.40821246
2017,91913,Solar PV,6.22083228
2017,91914,Solar PV,4.10826939
2017,91915,Solar PV,4.50990082
2017,91916,Solar PV,0.3600855
2017,91917,Solar PV,0.14749921
2017,91931,Solar PV,0.02482403
2017,91932,Solar PV,1.40538894
2017,91934,Solar PV,0.03413996
2017,91935,Solar PV,4.12047591
2017,91941,Solar PV,6.01049446
2017,91942,Solar PV,4.42481488
2017,91945,Solar PV,1.93875778
2017,91948,Solar PV,0.00082061
2017,91950,Solar PV,2.55205642
2017,91962,Solar PV,0.22171075
2017,91963,Solar PV,0.07797675
2017,91977,Solar PV,5.62639323
2017,91978,Solar PV,1.2293422
2017,91980,Solar PV,0.03453385
2017,92003,Solar PV,1.869541
2017,92004,Solar PV,2.07140948
2017,92007,Solar PV,1.04263989
2017,92008,Solar PV,2.79254264
2017,92009,Solar PV,10.44305654
2017,92010,Solar PV,1.93067002
2017,92011,Solar PV,2.89594041
2017,92014,Solar PV,2.86236735
2017,92019,Solar PV,9.85642351
2017,92020,Solar PV,7.6929796
2017,92021,Solar PV,9.05704485
2017,92024,Solar PV,9.12284312
2017,92025,Solar PV,7.53342363
2017,92026,Solar PV,8.27200014
2017,92027,Solar PV,9.15429286
2017,92028,Solar PV,14.78214951
2017,92029,Solar PV,6.56432922
2017,92036,Solar PV,0.4717119
2017,92037,Solar PV,7.47888066
2017,92040,Solar PV,9.91532663
2017,92054,Solar PV,3.17376422
2017,92055,Solar PV,1.29416122
2017,92056,Solar PV,5.75112266
2017,92057,Solar PV,5.34080306
2017,92058,Solar PV,1.73080382
2017,92059,Solar PV,0.62349194
2017,92060,Solar PV,0.03944518
2017,92061,Solar PV,1.9597653
2017,92064,Solar PV,17.54205663
2017,92065,Solar PV,12.64107943
2017,92066,Solar PV,0.04469296
2017,92067,Solar PV,5.5743155
2017,92068,Solar PV,0
2017,92069,Solar PV,6.8435508
2017,92070,Solar PV,0.11754571
2017,92071,Solar PV,10.24602006
2017,92072,Solar PV,0
2017,92075,Solar PV,1.59874158
2017,92078,Solar PV,6.24819403
2017,92081,Solar PV,5.21749807
2017,92082,Solar PV,9.16285794
2017,92083,Solar PV,2.70317723
2017,92084,Solar PV,6.3397696
2017,92085,Solar PV,0
2017,92086,Solar PV,0.27240302
2017,92091,Solar PV,0.23729406
2017,92092,Solar PV,0
2017,92093,Solar PV,0
2017,92096,Solar PV,0
2017,92101,Solar PV,1.54210196
2017,92102,Solar PV,1.49153551
2017,92103,Solar PV,2.18102882
2017,92104,Solar PV,1.88211953
2017,92105,Solar PV,2.53777787
2017,92106,Solar PV,3.55545628
2017,92107,Solar PV,1.47317786
2017,92108,Solar PV,2.36449452
2017,92109,Solar PV,2.46615397
2017,92110,Solar PV,3.97905397
2017,92111,Solar PV,5.48994964
2017,92112,Solar PV,0.00611625
2017,92113,Solar PV,2.46689867
2017,92114,Solar PV,4.40127373
2017,92115,Solar PV,4.54456118
2017,92116,Solar PV,1.79968483
2017,92117,Solar PV,4.79435991
2017,92118,Solar PV,2.55188409
2017,92119,Solar PV,3.66189166
2017,92120,Solar PV,6.20802877
2017,92121,Solar PV,4.00672003
