Spatial ID,Output DER Types,All Sectors,Act vs Sim,Output Periods,Incremental Count (Calibration),Cumulative Count (Calibration),Incremental MW-AC (Calibration),Cumulative MW-AC (Calibration)
91901,Solar PV,Residential,Actual,28-Feb-2012,9,242,0.0671,1.532021
91902,Solar PV,Residential,Actual,28-Feb-2012,4,112,0.0189,0.557431
91905,Solar PV,Residential,Actual,28-Feb-2012,0,7,0,0.0439
91906,Solar PV,Residential,Actual,28-Feb-2012,1,11,0.0036,0.0393
91910,Solar PV,Residential,Actual,28-Feb-2012,9,134,0.0495,0.504613
91911,Solar PV,Residential,Actual,28-Feb-2012,3,118,0.0112,0.289792
91913,Solar PV,Residential,Actual,28-Feb-2012,2,143,0.004,0.3512
91914,Solar PV,Residential,Actual,28-Feb-2012,10,47,0.0305,0.2076
91915,Solar PV,Residential,Actual,28-Feb-2012,3,35,0.0121,0.133338
91916,Solar PV,Residential,Actual,28-Feb-2012,0,17,0,0.104215
91917,Solar PV,Residential,Actual,28-Feb-2012,0,7,0,0.047832
91931,Solar PV,Residential,Actual,28-Feb-2012,0,1,0,0.006
91932,Solar PV,Residential,Actual,28-Feb-2012,0,71,0,0.218011
91934,Solar PV,Residential,Actual,28-Feb-2012,0,1,0,0.005
91935,Solar PV,Residential,Actual,28-Feb-2012,4,140,0.0323,0.89321
91941,Solar PV,Residential,Actual,28-Feb-2012,12,235,0.0577,1.061506
91942,Solar PV,Residential,Actual,28-Feb-2012,1,82,0.0048,0.264653
91945,Solar PV,Residential,Actual,28-Feb-2012,4,53,0.0118,0.172526
91948,Solar PV,Residential,Actual,28-Feb-2012,0,1,0,0.0012
91950,Solar PV,Residential,Actual,28-Feb-2012,1,22,0.005,0.0634
91962,Solar PV,Residential,Actual,28-Feb-2012,0,7,0,0.0251
91963,Solar PV,Residential,Actual,28-Feb-2012,0,4,0,0.0177
91977,Solar PV,Residential,Actual,28-Feb-2012,7,143,0.0272,0.530502
91978,Solar PV,Residential,Actual,28-Feb-2012,1,35,0.0016,0.12747
91980,Solar PV,Residential,Actual,28-Feb-2012,0,0
92003,Solar PV,Residential,Actual,28-Feb-2012,2,41,0.0121,0.321667
92004,Solar PV,Residential,Actual,28-Feb-2012,0,68,0,0.299359
92007,Solar PV,Residential,Actual,28-Feb-2012,0,66,0,0.245334
92008,Solar PV,Residential,Actual,28-Feb-2012,3,103,0.0059,0.3985
92009,Solar PV,Residential,Actual,28-Feb-2012,2,225,0.0049,1.042489
92010,Solar PV,Residential,Actual,28-Feb-2012,0,45,0,0.156526
92011,Solar PV,Residential,Actual,28-Feb-2012,1,92,0.0026,0.378771
92014,Solar PV,Residential,Actual,28-Feb-2012,4,125,0.0165,0.611034
92019,Solar PV,Residential,Actual,28-Feb-2012,11,220,0.0679,1.150874
92020,Solar PV,Residential,Actual,28-Feb-2012,8,189,0.0325,0.931105
92021,Solar PV,Residential,Actual,28-Feb-2012,6,261,0.0365,1.366421
92024,Solar PV,Residential,Actual,28-Feb-2012,5,322,0.0415,1.454048
92025,Solar PV,Residential,Actual,28-Feb-2012,3,179,0.0111,1.002531
92026,Solar PV,Residential,Actual,28-Feb-2012,6,194,0.0203,0.951303
92027,Solar PV,Residential,Actual,28-Feb-2012,2,172,0.0093,0.787714
92028,Solar PV,Residential,Actual,28-Feb-2012,12,420,0.0638,2.123633
92029,Solar PV,Residential,Actual,28-Feb-2012,3,198,0.0096,1.002412
92036,Solar PV,Residential,Actual,28-Feb-2012,2,60,0.008,0.220761
92037,Solar PV,Residential,Actual,28-Feb-2012,1,237,0.0038,1.113609
92040,Solar PV,Residential,Actual,28-Feb-2012,5,253,0.0272,1.140235
92054,Solar PV,Residential,Actual,28-Feb-2012,2,66,0.0058,0.23949
92055,Solar PV,Residential,Actual,28-Feb-2012,0,0
92056,Solar PV,Residential,Actual,28-Feb-2012,0,109,0,0.344
92057,Solar PV,Residential,Actual,28-Feb-2012,6,149,0.0147,0.517694
92058,Solar PV,Residential,Actual,28-Feb-2012,0,27,0,0.0751
92059,Solar PV,Residential,Actual,28-Feb-2012,0,14,0,0.0666
92060,Solar PV,Residential,Actual,28-Feb-2012,0,1,0,0.0018
92061,Solar PV,Residential,Actual,28-Feb-2012,0,13,0,0.0592
92064,Solar PV,Residential,Actual,28-Feb-2012,12,627,0.0582,3.647617
92065,Solar PV,Residential,Actual,28-Feb-2012,15,446,0.0978,2.390767
92066,Solar PV,Residential,Actual,28-Feb-2012,0,3,0,0.0121
92067,Solar PV,Residential,Actual,28-Feb-2012,2,98,0.0283,1.172072
92069,Solar PV,Residential,Actual,28-Feb-2012,4,157,0.0201,0.496824
92070,Solar PV,Residential,Actual,28-Feb-2012,1,12,0.0081,0.0831
92071,Solar PV,Residential,Actual,28-Feb-2012,9,211,0.029,0.788062
92075,Solar PV,Residential,Actual,28-Feb-2012,2,96,0.012,0.4382
92078,Solar PV,Residential,Actual,28-Feb-2012,9,340,0.0376,0.951467
92081,Solar PV,Residential,Actual,28-Feb-2012,2,78,0.0141,0.321514
92082,Solar PV,Residential,Actual,28-Feb-2012,3,236,0.0214,1.347736
92083,Solar PV,Residential,Actual,28-Feb-2012,1,47,0.0011,0.1621
92084,Solar PV,Residential,Actual,28-Feb-2012,4,229,0.0239,1.1114
92086,Solar PV,Residential,Actual,28-Feb-2012,0,16,0,0.0869
92091,Solar PV,Residential,Actual,28-Feb-2012,0,3,0,0.0139
92101,Solar PV,Residential,Actual,28-Feb-2012,0,3,0,0.0089
92102,Solar PV,Residential,Actual,28-Feb-2012,1,58,0.0029,0.121795
92103,Solar PV,Residential,Actual,28-Feb-2012,1,150,0.0081,0.566471
92104,Solar PV,Residential,Actual,28-Feb-2012,3,126,0.0088,0.383764
92105,Solar PV,Residential,Actual,28-Feb-2012,5,115,0.0113,0.2901
92106,Solar PV,Residential,Actual,28-Feb-2012,2,99,0.0131,0.456735
92107,Solar PV,Residential,Actual,28-Feb-2012,0,97,0,0.345793
92108,Solar PV,Residential,Actual,28-Feb-2012,0,35,0,0.1779
92109,Solar PV,Residential,Actual,28-Feb-2012,2,426,0.0048,1.033687
92110,Solar PV,Residential,Actual,28-Feb-2012,1,81,0.0042,0.293138
92111,Solar PV,Residential,Actual,28-Feb-2012,1,98,0.0051,0.307862
92112,Solar PV,Residential,Actual,28-Feb-2012,0,0
92113,Solar PV,Residential,Actual,28-Feb-2012,1,29,0.0017,0.1636
92114,Solar PV,Residential,Actual,28-Feb-2012,3,67,0.0115,0.188449
92115,Solar PV,Residential,Actual,28-Feb-2012,5,171,0.0187,0.534148
92116,Solar PV,Residential,Actual,28-Feb-2012,1,118,0.0058,0.399607
92117,Solar PV,Residential,Actual,28-Feb-2012,8,274,0.0204,0.903747
92118,Solar PV,Residential,Actual,28-Feb-2012,1,103,0.004,0.437568
92119,Solar PV,Residential,Actual,28-Feb-2012,3,115,0.0099,0.4145
92120,Solar PV,Residential,Actual,28-Feb-2012,5,357,0.0296,0.966032
92121,Solar PV,Residential,Actual,28-Feb-2012,0,22,0,0.09508
92122,Solar PV,Residential,Actual,28-Feb-2012,1,116,0.0063,0.450079
92123,Solar PV,Residential,Actual,28-Feb-2012,3,91,0.0134,0.3361
