Record,Utility,Service Zip,System Size DC,System Size AC,Customer Sector,App Approved Date
1,JEA,All,0.04,0.033333333,Residential,6/29/2010
2,JEA,All,4.51,3.758333333,Residential,6/29/2010
3,JEA,All,4.4,3.666666667,Residential,6/29/2010
4,JEA,All,5,4.166666667,Residential,6/29/2010
5,JEA,All,4.455,3.7125,Residential,4/12/2004
6,JEA,All,3,2.5,Residential,11/24/2002
7,JEA,All,5.94,4.95,Residential,6/2/2003
8,JEA,All,14.44,12.03333333,Residential,2/25/2008
9,JEA,All,9.34,7.783333333,Residential,5/29/2007
10,JEA,All,2.4,2,Residential,1/12/2012
11,JEA,All,4.8,4,Residential,12/20/2007
12,JEA,All,4.32,3.6,Residential,2/28/2008
13,JEA,All,5,4.166666667,Residential,11/27/2007
14,JEA,All,7.3,6.083333333,Residential,9/4/2007
15,JEA,All,4.95,4.125,Residential,4/2/2008
16,JEA,All,5.2,4.333333333,Residential,2/20/2009
17,JEA,All,4.9,4.083333333,Residential,3/9/2009
18,JEA,All,4.9,4.083333333,Residential,4/21/2009
19,JEA,All,5.6,4.666666667,Residential,8/3/2009
20,JEA,All,5,4.166666667,Residential,6/29/2009
21,JEA,All,5.184,4.32,Residential,8/7/2009
22,JEA,All,5.32,4.433333333,Residential,8/18/2009
23,JEA,All,3.24,2.7,Residential,8/14/2009
24,JEA,All,7,5.833333333,Residential,9/7/2009
25,JEA,All,5.07,4.225,Residential,9/4/2009
26,JEA,All,3.68,3.066666667,Residential,9/15/2009
27,JEA,All,4.86,4.05,Residential,8/13/2009
28,JEA,All,5,4.166666667,Residential,9/25/2009
29,JEA,All,5.46,4.55,Residential,9/22/2009
30,JEA,All,6.9,5.75,Residential,10/13/2009
31,JEA,All,5.04,4.2,Residential,11/12/2009
32,JEA,All,4.86,4.05,Residential,11/13/2009
33,JEA,All,4.9,4.083333333,Residential,1/6/2010
34,JEA,All,2.4,2,Residential,12/28/2009
35,JEA,All,6.02,5.016666667,Residential,12/7/2009
36,JEA,All,4.8,4,Residential,12/17/2009
37,JEA,All,5.4,4.5,Residential,1/8/2010
38,JEA,All,7.99,6.658333333,Residential,1/12/2010
39,JEA,All,4.9,4.083333333,Residential,1/15/2010
40,JEA,All,3.5,2.916666667,Residential,1/13/2010
41,JEA,All,4.9,4.083333333,Residential,2/8/2010
42,JEA,All,6,5,Residential,2/19/2010
43,JEA,All,7,5.833333333,Residential,2/18/2010
44,JEA,All,4,3.333333333,Residential,2/23/2010
45,JEA,All,5.1,4.25,Residential,4/14/2010
46,JEA,All,5.5,4.583333333,Residential,4/2/2010
47,JEA,All,6.19,5.158333333,Residential,2/9/2010
48,JEA,All,1.47,1.225,Residential,4/8/2010
49,JEA,All,3.2,2.666666667,Residential,4/7/2010
50,JEA,All,2,1.666666667,Residential,4/7/2010
51,JEA,All,4.95,4.125,Residential,4/8/2010
52,JEA,All,5.75,4.791666667,Residential,5/24/2010
53,JEA,All,5.12,4.266666667,Residential,6/3/2010
54,JEA,All,5.1,4.25,Residential,6/25/2010
55,JEA,All,0.6,0.5,Residential,8/17/2010
56,JEA,All,4.4,3.666666667,Residential,6/25/2010
57,JEA,All,2.2,1.833333333,Residential,1/7/2011
58,JEA,All,5.01,4.175,Residential,4/18/2011
59,JEA,All,5.1,4.25,Residential,7/25/2011
60,JEA,All,4.2,3.5,Residential,7/25/2011
61,JEA,All,3,2.5,Residential,8/11/2011
62,JEA,All,0.47,0.391666667,Residential,9/21/2011
63,JEA,All,2.88,2.4,Residential,9/26/2011
64,JEA,All,1.3,1.083333333,Residential,11/9/2011
65,JEA,All,6.67,5.558333333,Residential,1/6/2012
66,JEA,All,5.2,4.333333333,Residential,2/15/2012
67,JEA,All,3.7,3.083333333,Residential,2/15/2012
68,JEA,All,10,8.333333333,Residential,2/14/2012
69,JEA,All,2.1,1.75,Residential,2/16/2012
70,JEA,All,4.84,4.033333333,Residential,3/14/2012
71,JEA,All,2,1.666666667,Residential,3/14/2012
72,JEA,All,5.6,4.666666667,Residential,2/24/2012
73,JEA,All,0.74,0.616666667,Residential,4/10/2012
74,JEA,All,6,5,Residential,5/7/2012
75,JEA,All,4,3.333333333,Residential,5/17/2012
76,JEA,All,4.5,3.75,Residential,5/2/2012
77,JEA,All,8.7,7.25,Residential,6/7/2012
78,JEA,All,6.38,5.316666667,Residential,7/18/2012
79,JEA,All,2.94,2.45,Residential,7/18/2012
80,JEA,All,4.59,3.825,Residential,8/3/2012
81,JEA,All,1.5,1.25,Residential,8/3/2012
82,JEA,All,7.14,5.95,Residential,8/20/2012
83,JEA,All,8.32,6.933333333,Residential,9/4/2012
84,JEA,All,2.24,1.866666667,Residential,8/29/2012
85,JEA,All,8.1,6.75,Residential,10/15/2012
86,JEA,All,1.2,1,Residential,12/5/2012
87,JEA,All,6,5,Residential,1/3/2013
88,JEA,All,6.12,5.1,Residential,1/2/2013
89,JEA,All,10.08,8.4,Residential,1/4/2013
90,JEA,All,7.5,6.25,Residential,1/17/2013
91,JEA,All,11.7,9.75,Residential,3/1/2013
92,JEA,All,10,8.333333333,Residential,3/27/2013
93,JEA,All,7,5.833333333,Residential,3/28/2013
94,JEA,All,5.6,4.666666667,Residential,4/2/2013
95,JEA,All,7.35,6.125,Residential,4/17/2013
96,JEA,All,7.44,6.2,Residential,4/17/2013
97,JEA,All,1.98,1.65,Residential,4/19/2013
98,JEA,All,8.5,7.083333333,Residential,4/29/2013
99,JEA,All,3.06,2.55,Residential,5/17/2013
100,JEA,All,7.5,6.25,Residential,6/18/2013
101,JEA,All,1.5,1.25,Residential,6/24/2013
102,JEA,All,4,3.333333333,Residential,6/27/2013
103,JEA,All,5.82,4.85,Residential,7/11/2013
104,JEA,All,4.77,3.975,Residential,7/11/2013
105,JEA,All,9.54,7.95,Residential,7/11/2013
106,JEA,All,1,0.833333333,Residential,7/12/2013
107,JEA,All,8.48,7.066666667,Residential,7/23/2013
108,JEA,All,7.35,6.125,Residential,7/24/2013
109,JEA,All,9.54,7.95,Residential,8/22/2013
110,JEA,All,6.89,5.741666667,Residential,10/3/2013
111,JEA,All,8.48,7.066666667,Residential,10/3/2013
112,JEA,All,2.4,2,Residential,10/28/2013
113,JEA,All,9.36,7.8,Residential,11/4/2013
114,JEA,All,4.16,3.466666667,Residential,11/4/2013
115,JEA,All,3.71,3.091666667,Residential,11/18/2013
116,JEA,All,5.2,4.333333333,Residential,11/14/2013
117,JEA,All,5.2,4.333333333,Residential,11/14/2013
118,JEA,All,4.16,3.466666667,Residential,11/18/2013
119,JEA,All,5.46,4.55,Residential,11/18/2013
120,JEA,All,4.68,3.9,Residential,12/5/2013
121,JEA,All,7.95,6.625,Residential,12/6/2013
122,JEA,All,1,0.833333333,Residential,12/18/2013
123,JEA,All,4.5,3.75,Residential,12/3/2013
124,JEA,All,13,10.83333333,Residential,12/27/2013
125,JEA,All,3,2.5,Residential,1/3/2014
126,JEA,All,6.625,5.520833333,Residential,1/6/2014
127,JEA,All,7.28,6.066666667,Residential,1/22/2014
128,JEA,All,5.25,4.375,Residential,1/23/2014
129,JEA,All,5,4.166666667,Residential,3/11/2014
130,JEA,All,8.84,7.366666667,Residential,3/10/2014
131,JEA,All,6,5,Residential,3/20/2014
132,JEA,All,5.72,4.766666667,Residential,3/24/2014
133,JEA,All,5.1,4.25,Residential,3/27/2014
134,JEA,All,6.75,5.625,Residential,4/8/2014
135,JEA,All,10,8.333333333,Residential,4/22/2014
136,JEA,All,7.5,6.25,Residential,4/22/2014
137,JEA,All,8.32,6.933333333,Residential,4/24/2014
138,JEA,All,8.84,7.366666667,Residential,4/24/2014
139,JEA,All,8.5,7.083333333,Residential,4/28/2014
140,JEA,All,6.36,5.3,Residential,4/28/2014
141,JEA,All,5.83,4.858333333,Residential,4/28/2014
142,JEA,All,6.36,5.3,Residential,4/29/2014
143,JEA,All,9.8,8.166666667,Residential,5/7/2014
144,JEA,All,6.89,5.741666667,Residential,5/8/2014
145,JEA,All,5.72,4.766666667,Residential,5/8/2014
146,JEA,All,1.68,1.4,Residential,5/13/2014
147,JEA,All,5,4.166666667,Residential,5/13/2014
148,JEA,All,1.02,0.85,Residential,5/29/2014
149,JEA,All,5,4.166666667,Residential,5/21/2014
150,JEA,All,6.75,5.625,Residential,6/24/2014
151,JEA,All,4.24,3.533333333,Residential,6/23/2014
152,JEA,All,5.83,4.858333333,Residential,7/11/2014
153,JEA,All,8,6.666666667,Residential,6/23/2014
154,JEA,All,12.19,10.15833333,Residential,6/23/2014
155,JEA,All,3.71,3.091666667,Residential,7/19/2014
156,JEA,All,3.17,2.641666667,Residential,6/23/2014
157,JEA,All,7.42,6.183333333,Residential,6/23/2014
158,JEA,All,12.21,10.175,Residential,6/24/2014
159,JEA,All,5,4.166666667,Residential,4/16/2014
160,JEA,All,7.5,6.25,Residential,7/1/2014
161,JEA,All,5.474,4.561666667,Residential,7/30/2014
162,JEA,All,7.44,6.2,Residential,8/5/2014
163,JEA,All,7.56,6.3,Residential,8/7/2014
164,JEA,All,6.36,5.3,Residential,8/7/2014
165,JEA,All,3.18,2.65,Residential,7/19/2014
166,JEA,All,7.42,6.183333333,Residential,8/7/2014
167,JEA,All,7.42,6.183333333,Residential,8/7/2014
168,JEA,All,11.73,9.775,Residential,8/25/2014
169,JEA,All,4.5,3.75,Residential,8/19/2014
170,JEA,All,7.95,6.625,Residential,9/4/2014
171,JEA,All,8.48,7.066666667,Residential,9/8/2014
172,JEA,All,7.95,6.625,Residential,9/11/2014
173,JEA,All,9.275,7.729166667,Residential,9/11/2014
174,JEA,All,4.896,4.08,Residential,9/11/2014
175,JEA,All,3.975,3.3125,Residential,9/29/2014
176,JEA,All,10.07,8.391666667,Residential,9/29/2014
177,JEA,All,12.72,10.6,Residential,10/6/2014
178,JEA,All,6.36,5.3,Residential,9/29/2014
179,JEA,All,11,9.166666667,Residential,10/13/2014
180,JEA,All,6,5,Residential,10/3/2014
181,JEA,All,5.3,4.416666667,Residential,10/17/2014
182,JEA,All,7.95,6.625,Residential,10/17/2014
183,JEA,All,4.24,3.533333333,Residential,10/21/2014
184,JEA,All,8.48,7.066666667,Residential,10/21/2014
185,JEA,All,1.06,0.883333333,Residential,11/6/2014
186,JEA,All,9.54,7.95,Residential,10/21/2014
187,JEA,All,8.215,6.845833333,Residential,10/21/2014
188,JEA,All,6.89,5.741666667,Residential,10/17/2014
189,JEA,All,11.13,9.275,Residential,10/23/2014
190,JEA,All,12.72,10.6,Residential,10/27/2014
191,JEA,All,8.48,7.066666667,Residential,10/27/2014
192,JEA,All,6.36,5.3,Residential,11/4/2014
193,JEA,All,10,8.333333333,Residential,11/7/2014
194,JEA,All,4.24,3.533333333,Residential,11/14/2014
195,JEA,All,5.83,4.858333333,Residential,11/14/2014
196,JEA,All,6.095,5.079166667,Residential,11/19/2014
197,JEA,All,6.095,5.079166667,Residential,11/19/2014
198,JEA,All,7.42,6.183333333,Residential,11/25/2014
199,JEA,All,10.08,8.4,Residential,12/1/2014
200,JEA,All,8.525,7.104166667,Residential,12/8/2014
201,JEA,All,10.26,8.55,Residential,12/13/2014
202,JEA,All,7.975,6.645833333,Residential,12/8/2014
203,JEA,All,6.89,5.741666667,Residential,12/12/2014
204,JEA,All,4.505,3.754166667,Residential,12/12/2014
205,JEA,All,4.24,3.533333333,Residential,12/15/2014
206,JEA,All,7.155,5.9625,Residential,12/12/2014
207,JEA,All,4.505,3.754166667,Residential,1/6/2015
208,JEA,All,4.125,3.4375,Residential,12/17/2014
209,JEA,All,9.384,7.82,Residential,12/22/2014
210,JEA,All,7.95,6.625,Residential,12/22/2014
211,JEA,All,9.54,7.95,Residential,12/22/2014
212,JEA,All,11.66,9.716666667,Residential,1/7/2015
213,JEA,All,10.07,8.391666667,Residential,1/7/2015
214,JEA,All,7.95,6.625,Residential,1/7/2015
215,JEA,All,7.155,5.9625,Residential,1/7/2015
216,JEA,All,10.07,8.391666667,Residential,1/7/2015
217,JEA,All,8.48,7.066666667,Residential,1/7/2015
218,JEA,All,5.3,4.416666667,Residential,1/20/2015
219,JEA,All,6.36,5.3,Residential,1/21/2015
220,JEA,All,5.3,4.416666667,Residential,1/29/2015
221,JEA,All,7.42,6.183333333,Residential,1/29/2015
222,JEA,All,3.71,3.091666667,Residential,1/29/2015
223,JEA,All,7.95,6.625,Residential,4/9/2015
224,JEA,All,3.18,2.65,Residential,2/24/2015
225,JEA,All,6.72,5.6,Residential,3/12/2015
226,JEA,All,14.84,12.36666667,Residential,3/12/2015
227,JEA,All,6.36,5.3,Residential,3/12/2015
228,JEA,All,5.2,4.333333333,Residential,3/4/2015
229,JEA,All,4.77,3.975,Residential,3/26/2015
230,JEA,All,6.89,5.741666667,Residential,3/26/2015
231,JEA,All,5.83,4.858333333,Residential,3/26/2015
232,JEA,All,9.72,8.1,Residential,3/26/2015
233,JEA,All,2.8,2.333333333,Residential,3/31/2015
234,JEA,All,8.1,6.75,Residential,4/11/2015
235,JEA,All,8.64,7.2,Residential,4/11/2015
236,JEA,All,6.89,5.741666667,Residential,4/13/2015
237,JEA,All,2,1.666666667,Residential,4/17/2015
238,JEA,All,6.48,5.4,Residential,4/22/2015
239,JEA,All,9.72,8.1,Residential,4/17/2015
240,JEA,All,6.299,5.249166667,Residential,4/21/2015
241,JEA,All,7.56,6.3,Residential,4/22/2015
242,JEA,All,7.84,6.533333333,Residential,4/22/2015
243,JEA,All,8.1,6.75,Residential,4/29/2015
244,JEA,All,14.04,11.7,Residential,4/24/2015
245,JEA,All,11.88,9.9,Residential,4/30/2015
246,JEA,All,1.68,1.4,Residential,5/8/2015
247,JEA,All,10.8,9,Residential,5/21/2015
248,JEA,All,5.1,4.25,Residential,5/21/2015
249,JEA,All,7.02,5.85,Residential,5/12/2015
250,JEA,All,6.48,5.4,Residential,5/12/2015
251,JEA,All,8.64,7.2,Residential,5/12/2015
252,JEA,All,10.08,8.4,Residential,5/27/2015
253,JEA,All,5.4,4.5,Residential,6/3/2015
254,JEA,All,8.91,7.425,Residential,6/3/2015
255,JEA,All,9.18,7.65,Residential,6/3/2015
256,JEA,All,5.94,4.95,Residential,6/3/2015
257,JEA,All,11.88,9.9,Residential,6/3/2015
258,JEA,All,8.37,6.975,Residential,6/10/2015
259,JEA,All,10.8,9,Residential,6/10/2015
260,JEA,All,15.6,13,Residential,6/10/2015
261,JEA,All,10.26,8.55,Residential,6/10/2015
262,JEA,All,6.75,5.625,Residential,6/10/2015
263,JEA,All,8.64,7.2,Residential,6/10/2015
264,JEA,All,7.02,5.85,Residential,6/10/2015
265,JEA,All,6.21,5.175,Residential,6/11/2015
266,JEA,All,8.64,7.2,Residential,6/11/2015
267,JEA,All,12.4,10.33333333,Residential,6/11/2015
268,JEA,All,3.78,3.15,Residential,6/11/2015
269,JEA,All,5.4,4.5,Residential,6/11/2015
270,JEA,All,9.18,7.65,Residential,6/11/2015
271,JEA,All,9.72,8.1,Residential,7/10/2015
272,JEA,All,10.26,8.55,Residential,6/15/2015
273,JEA,All,7.98,6.65,Residential,6/19/2015
274,JEA,All,5.94,4.95,Residential,6/19/2015
275,JEA,All,6.21,5.175,Residential,8/25/2015
276,JEA,All,10.8,9,Residential,6/19/2015
277,JEA,All,7.56,6.3,Residential,6/25/2015
278,JEA,All,11.34,9.45,Residential,6/19/2015
279,JEA,All,5.94,4.95,Residential,6/23/2015
280,JEA,All,8.64,7.2,Residential,7/7/2015
281,JEA,All,6.21,5.175,Residential,6/30/2015
282,JEA,All,3,2.5,Residential,7/2/2015
283,JEA,All,17.82,14.85,Residential,7/2/2015
284,JEA,All,3.92,3.266666667,Residential,7/7/2015
285,JEA,All,9.72,8.1,Residential,7/14/2015
286,JEA,All,6.48,5.4,Residential,7/24/2015
287,JEA,All,3.78,3.15,Residential,7/30/2015
288,JEA,All,3.24,2.7,Residential,8/1/2015
289,JEA,All,8.1,6.75,Residential,8/4/2015
290,JEA,All,6.75,5.625,Residential,8/4/2015
291,JEA,All,11.34,9.45,Residential,8/4/2015
292,JEA,All,7.56,6.3,Residential,8/5/2015
293,JEA,All,2.7,2.25,Residential,8/4/2015
294,JEA,All,5.4,4.5,Residential,8/4/2015
295,JEA,All,1.71,1.425,Residential,8/11/2015
296,JEA,All,4.32,3.6,Residential,8/17/2015
297,JEA,All,9.45,7.875,Residential,8/17/2015
298,JEA,All,8.1,6.75,Residential,8/17/2015
299,JEA,All,8.1,6.75,Residential,8/17/2015
300,JEA,All,3.24,2.7,Residential,8/18/2015
301,JEA,All,8.64,7.2,Residential,8/18/2015
302,JEA,All,8.64,7.2,Residential,8/18/2015
303,JEA,All,10.26,8.55,Residential,8/21/2015
304,JEA,All,13.11,10.925,Residential,8/21/2015
305,JEA,All,5.4,4.5,Residential,8/21/2015
306,JEA,All,10.26,8.55,Residential,8/24/2015
307,JEA,All,9.456,7.88,Residential,8/24/2015
308,JEA,All,8.1,6.75,Residential,8/24/2015
309,JEA,All,7.83,6.525,Residential,8/24/2015
310,JEA,All,5.94,4.95,Residential,8/24/2015
311,JEA,All,4.86,4.05,Residential,8/24/2015
312,JEA,All,3.24,2.7,Residential,8/24/2015
313,JEA,All,9.72,8.1,Residential,8/25/2015
314,JEA,All,7.56,6.3,Residential,8/25/2015
315,JEA,All,5.67,4.725,Residential,8/25/2015
316,JEA,All,4,3.333333333,Residential,8/26/2015
317,JEA,All,8.64,7.2,Residential,8/28/2015
318,JEA,All,5.94,4.95,Residential,9/1/2015
319,JEA,All,7.02,5.85,Residential,8/28/2015
320,JEA,All,4,3.333333333,Residential,9/1/2015
321,JEA,All,9.99,8.325,Residential,9/8/2015
322,JEA,All,8.64,7.2,Residential,9/1/2015
323,JEA,All,12.42,10.35,Residential,9/1/2015
324,JEA,All,7.02,5.85,Residential,9/1/2015
325,JEA,All,16.8,14,Residential,11/19/2015
326,JEA,All,6.72,5.6,Residential,9/1/2015
327,JEA,All,14.04,11.7,Residential,9/1/2015
328,JEA,All,11.88,9.9,Residential,9/1/2015
329,JEA,All,11.34,9.45,Residential,9/1/2015
330,JEA,All,9.72,8.1,Residential,9/1/2015
331,JEA,All,7.02,5.85,Residential,9/1/2015
332,JEA,All,7.85,6.541666667,Residential,9/1/2015
333,JEA,All,5.67,4.725,Residential,9/1/2015
334,JEA,All,2.16,1.8,Residential,9/1/2015
335,JEA,All,9.72,8.1,Residential,9/1/2015
336,JEA,All,7.02,5.85,Residential,9/14/2015
337,JEA,All,14.58,12.15,Residential,9/14/2015
338,JEA,All,12.96,10.8,Residential,9/14/2015
339,JEA,All,8.1,6.75,Residential,9/14/2015
340,JEA,All,6.48,5.4,Residential,9/14/2015
341,JEA,All,6.72,5.6,Residential,9/24/2015
342,JEA,All,5.4,4.5,Residential,10/5/2015
343,JEA,All,11.76,9.8,Residential,9/16/2015
344,JEA,All,10.8,9,Residential,9/16/2015
345,JEA,All,5.94,4.95,Residential,9/16/2015
346,JEA,All,13.5,11.25,Residential,9/16/2015
347,JEA,All,6.1,5.083333333,Residential,9/17/2015
348,JEA,All,3.24,2.7,Residential,9/17/2015
349,JEA,All,9.72,8.1,Residential,10/15/2015
350,JEA,All,10.26,8.55,Residential,9/18/2015
351,JEA,All,6.21,5.175,Residential,9/22/2015
352,JEA,All,6.21,5.175,Residential,12/16/2015
353,JEA,All,4.05,3.375,Residential,9/1/2015
354,JEA,All,3,2.5,Residential,9/1/2015
355,JEA,All,4.5,3.75,Residential,10/14/2015
356,JEA,All,5.13,4.275,Residential,9/24/2015
357,JEA,All,8.9,7.416666667,Residential,10/14/2015
358,JEA,All,5.985,4.9875,Residential,10/7/2015
359,JEA,All,3.51,2.925,Residential,9/28/2015
360,JEA,All,11.34,9.45,Residential,9/30/2015
361,JEA,All,6.75,5.625,Residential,11/9/2015
362,JEA,All,5.67,4.725,Residential,10/5/2015
363,JEA,All,8,6.666666667,Residential,10/1/2015
364,JEA,All,13.5,11.25,Residential,10/12/2015
365,JEA,All,13.5,11.25,Residential,10/1/2015
366,JEA,All,11.34,9.45,Residential,10/9/2015
367,JEA,All,8.64,7.2,Residential,10/6/2015
